competitor,promo_title,promo_type,discount_value,promo_code,promo_url,description,collected_at
West Elm,Up to 50% off outdoor,percentage_off,50,,https://www.westelm.com/shop/outdoor/furniture+all-outdoor/productcategory-m-category-ff001b-1/,Shop now,2025-08-11 13:59:05
West Elm,Up to 50% off,percentage_off,50,,https://www.westelm.com/m/shop/sale/all-sale/,Shop all sale,2025-08-11 13:59:05
West Elm,Earn 10% back in rewards today,rewards,10,,https://www.westelm.com/m/pages/credit-card/,Learn more,2025-08-11 13:59:05
West Elm,Up to 50% off,percentage_off,50,,https://www.westelm.com/m/shop/baby-kids-sale/all-baby-kids-sale/,Shop all kids sale,2025-08-11 13:59:05
West Elm,Earn 10% back in rewards today,rewards,10,,https://www.westelm.com/m/pages/credit-card/,Learn more,2025-08-11 13:59:05
West Elm,Up to 50% off outdoor,percentage_off,50,,https://www.westelm.com/shop/outdoor/furniture+all-outdoor/productcategory-m-category-ff001b-1/,Shop now,2025-08-11 13:59:05
West Elm,Up to 50% off,percentage_off,50,,https://www.westelm.com/m/shop/sale/all-sale/,Shop all sale,2025-08-11 13:59:05
West Elm,Earn 10% back in rewards today,percentage_off,10,,https://www.westelm.com/m/pages/credit-card/,Learn more,2025-08-11 13:59:05
Crate & Barrel,Up to 24 months special financing*,special_financing,,,https://www.crateandbarrel.com/rewards,on qualifying purchases with a Crate & Barrel credit card,2025-08-11 13:59:05
Crate & Barrel,Up to 24 months special financing*,financing,,,https://www.crateandbarrel.com/rewards,on qualifying purchases with a Crate & Barrel credit card.,2025-08-11 13:59:05
