competitor,product_name,brand,category,price,product_url,image_url,collected_at
West Elm,Emmeline 3-Piece Sectional with Chaise,West Elm,furniture,2599,https://www.westelm.com/products/emmeline-3-piece-sectional-with-chaise-h4400/?pkey=csofas-sectionals,https://www.westelm.com/weimgs/ab/images/wcm/products/202303/0012/emmeline-3-piece-sectional-with-chaise-m.jpg,2025-08-11 13:59:05
West Elm,Emmeline 2-Piece Sectional with Chaise,West Elm,furniture,1999,https://www.westelm.com/products/emmeline-2-piece-sectional-with-chaise-h4401/?pkey=csofas-sectionals,https://www.westelm.com/weimgs/ab/images/wcm/products/202303/0012/emmeline-2-piece-sectional-with-chaise-m.jpg,2025-08-11 13:59:05
West Elm,Emmeline Sofa,West Elm,furniture,1399,https://www.westelm.com/products/emmeline-sofa-h4402/?pkey=csofas-sectionals,https://www.westelm.com/weimgs/ab/images/wcm/products/202303/0012/emmeline-sofa-m.jpg,2025-08-11 13:59:05
West Elm,Emmeline Armchair,West Elm,furniture,899,https://www.westelm.com/products/emmeline-armchair-h4403/?pkey=csofas-sectionals,https://www.westelm.com/weimgs/ab/images/wcm/products/202303/0012/emmeline-armchair-m.jpg,2025-08-11 13:59:05
West Elm,"Just in! New furniture, bedding and more",West Elm,furniture,0,https://www.westelm.com/m/shop/kids-new/baby-kids-all-new/,,2025-08-11 13:59:05
West Elm,In time before baby arrives!,West Elm,furniture,0,https://www.westelm.com/m/shop/kids-furniture/all-baby-furniture/?availability=quickShipLevelOne%2BquickShipLevelTwo,,2025-08-11 13:59:05
West Elm,Up to 50% off,West Elm,furniture,0,https://www.westelm.com/m/shop/baby-kids-sale/all-baby-kids-sale/,,2025-08-11 13:59:05
West Elm,Earn 10% back in rewards today,West Elm,furniture,0,https://www.westelm.com/m/pages/credit-card/,,2025-08-11 13:59:05
West Elm,"Just in! New furniture, bedding and more",West Elm,furniture,0,https://www.westelm.com/m/shop/kids-new/baby-kids-all-new/,,2025-08-11 13:59:05
West Elm,In time before baby arrives!,West Elm,furniture,0,https://www.westelm.com/m/shop/kids-furniture/all-baby-furniture/?availability=quickShipLevelOne%2BquickShipLevelTwo,,2025-08-11 13:59:05
West Elm,Up to 50% off,West Elm,furniture,50,https://www.westelm.com/m/shop/baby-kids-sale/all-baby-kids-sale/,,2025-08-11 13:59:05
West Elm,Earn 10% back in rewards today,West Elm,other,10,https://www.westelm.com/m/pages/credit-card/,,2025-08-11 13:59:05
Crate & Barrel,Kade Swivel Chair,Crate & Barrel,furniture,1299,https://www.crateandbarrel.com/kade-swivel-chair/s621230,https://images.crateandbarrel.com/is/image/Crate/KadeSwviChairSHF21,2025-08-11 13:59:05
Crate & Barrel,Myles Leather Swivel Chair,Crate & Barrel,furniture,1499,https://www.crateandbarrel.com/myles-leather-swivel-chair/s621306,https://images.crateandbarrel.com/is/image/Crate/MylesLeatherSwviChairSHF21,2025-08-11 13:59:05
Crate & Barrel,Neva Leather Swivel Chair,Crate & Barrel,furniture,1599,https://www.crateandbarrel.com/neva-leather-swivel-chair/s621307,https://images.crateandbarrel.com/is/image/Crate/NevaLeatherSwviChairSHF21,2025-08-11 13:59:05
Crate & Barrel,Tinsdale Leather Swivel Chair,Crate & Barrel,furniture,1699,https://www.crateandbarrel.com/tinsdale-leather-swivel-chair/s621304,https://images.crateandbarrel.com/is/image/Crate/TinsdaleLeatherSwviChairSHF21,2025-08-11 13:59:05
Crate & Barrel,Marlow Leather Swivel Chair,Crate & Barrel,furniture,1499,https://www.crateandbarrel.com/marlow-leather-swivel-chair/s621305,https://images.crateandbarrel.com/is/image/Crate/MarlowLeatherSwviChairSHF21,2025-08-11 13:59:05
Crate & Barrel,Emerson 3-Piece Sectional Sofa,Crate & Barrel,furniture,3298,https://www.crateandbarrel.com/emerson-3-piece-sectional-sofa/s537289,https://images.crateandbarrel.com/is/image/Crate/EmersonModRHChnlSnlSHS20,2025-08-11 13:59:05
Crate & Barrel,Emerson Leather 3-Piece Sectional Sofa,Crate & Barrel,furniture,4498,https://www.crateandbarrel.com/emerson-leather-3-piece-sectional-sofa/s537291,https://images.crateandbarrel.com/is/image/Crate/EmersonLthrModRHChnlSnlSHS20,2025-08-11 13:59:05
Crate & Barrel,Emerson Leather Left-Arm Sofa,Crate & Barrel,furniture,1898,https://www.crateandbarrel.com/emerson-leather-left-arm-sofa/s537292,https://images.crateandbarrel.com/is/image/Crate/EmersonLthrLArmSofaS20,2025-08-11 13:59:05
Crate & Barrel,Emerson Right-Arm Sofa,Crate & Barrel,furniture,1598,https://www.crateandbarrel.com/emerson-right-arm-sofa/s537290,https://images.crateandbarrel.com/is/image/Crate/EmersonRArmSofaS20,2025-08-11 13:59:05
Crate & Barrel,Emerson Left-Arm Sofa,Crate & Barrel,furniture,1598,https://www.crateandbarrel.com/emerson-left-arm-sofa/s537293,https://images.crateandbarrel.com/is/image/Crate/EmersonLArmSofaS20,2025-08-11 13:59:05
